,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
26552,,Unhealthy,,,,,,,,,,,,,,,,
26553,,intravascular thrombus aspiration,,,,,,,,,,,,,,,,
26554,,AIDS-related illnesses,,,,,,,,,,,,,,,,
26555,,substance-induced psychosis,,,,,,,,,,,,,,,,
26556,,HIV infection|Poorly controlled,,,,,,,,,,,,,,,,
26557,,glucose,,,,,,,,,,,,,,,,
26558,,Astroblastoma/NM-1,,,,,,,,,,,,,,,,
26559,,dermoid cyst,,,,,,,,,,,,,,,,
26560,,hemorrhoidal disease,,,,,,,,,,,,,,,,
26561,,cardiovascular conditions,,,,,,,,,,,,,,,,
26562,,epidural block,,,,,,,,,,,,,,,,
26563,,population|Pregnant,,,,,,,,,,,,,,,,
26564,,prolonged QT interval time,,,,,,,,,,,,,,,,
26565,,reproductive system,,,,,,,,,,,,,,,,
26566,,major psychiatric condition,,,,,,,,,,,,,,,,
26567,,heart rate<50,,,,,,,,,,,,,,,,
26568,,whiplash injury,,,,,,,,,,,,,,,,
26569,,guidelines|Lack of,,,,,,,,,,,,,,,,
26570,,applications,,,,,,,,,,,,,,,,
26571,,solid mass in CT,,,,,,,,,,,,,,,,
26572,,type-2 diabetes,,,,,,,,,,,,,,,,
26573,,influenced pain threshold,,,,,,,,,,,,,,,,
26574,,severe reactions,,,,,,,,,,,,,,,,
26575,,Fridericia's [QTcF],,,,,,,,,,,,,,,,
26576,,intraprocedural stent thrombosis,,,,,,,,,,,,,,,,
26577,,leukemic cells,,,,,,,,,,,,,,,,
26578,,chest wall bone disease,,,,,,,,,,,,,,,,
26579,,hyperammonemia,,,,,,,,,,,,,,,,
26580,,pathological abnormality,,,,,,,,,,,,,,,,
26581,,transient ischemic,,,,,,,,,,,,,,,,
26582,,hypoadrenalism,,,,,,,,,,,,,,,,
26583,,acute rhinitis,,,,,,,,,,,,,,,,
26584,,Screening.|Orthostatic hypotension,,,,,,,,,,,,,,,,
26585,,facial anomaly,,,,,,,,,,,,,,,,
26586,,acute changes,,,,,,,,,,,,,,,,
26587,,-||Associated pathologies,,,,,,,,,,,,,,,,
26588,,acute pancreatitis|Any biliary stricture etiology,,,,,,,,,,,,,,,,
26589,,zonular dialysis,,,,,,,,,,,,,,,,
26590,,chronic diseases|Signs,,,,,,,,,,,,,,,,
26591,,urinary calculi,,,,,,,,,,,,,,,,
26592,,exon 14 skipping,,,,,,,,,,,,,,,,
26593,,microvasculature,,,,,,,,,,,,,,,,
26594,,blood sugar,,,,,,,,,,,,,,,,
26595,,venous thromboembolic disease,,,,,,,,,,,,,,,,
26596,,Hepatitis B core antibody (HBcAb),,,,,,,,,,,,,,,,
26597,,borderline resectable,,,,,,,,,,,,,,,,
26598,,major depression.||Inclusion Criteria,,,,,,,,,,,,,,,,
26599,,unconscious,,,,,,,,,,,,,,,,
26600,,talar component change,,,,,,,,,,,,,,,,
26601,,type of cataract,,,,,,,,,,,,,,,,
26602,,mild renal impairment,,,,,,,,,,,,,,,,
26603,,as:||Potassium,,,,,,,,,,,,,,,,
26604,,RV implantable cardiac device,,,,,,,,,,,,,,,,
26605,,diabetes|Mental instability,,,,,,,,,,,,,,,,
26606,,signs of Covid-19,,,,,,,,,,,,,,,,
26607,,isolated from the same,,,,,,,,,,,,,,,,
26608,,chemotherapy-induced thrombocytopenia,,,,,,,,,,,,,,,,
26609,,substance addiction,,,,,,,,,,,,,,,,
26610,,acute brain disease,,,,,,,,,,,,,,,,
26611,,macular atrophy,,,,,,,,,,,,,,,,
26612,,runny nose,,,,,,,,,,,,,,,,
26613,,amputations,,,,,,,,,,,,,,,,
26614,,injection pain,,,,,,,,,,,,,,,,
26615,,placenta abruption,,,,,,,,,,,,,,,,
26616,,mild cognitive impairment|females,,,,,,,,,,,,,,,,
26617,,intellectually disabled,,,,,,,,,,,,,,,,
26618,,diabetes;|uncontrolled hypertension,,,,,,,,,,,,,,,,
26619,,cervix|Superficial bladder,,,,,,,,,,,,,,,,
26620,,progressive organ dysfunction,,,,,,,,,,,,,,,,
26621,,infection....,,,,,,,,,,,,,,,,
26622,,infection.|Presence,,,,,,,,,,,,,,,,
26623,,non-irradiated evaluable lesions;|Subjects,,,,,,,,,,,,,,,,
26624,,impression,,,,,,,,,,,,,,,,
26625,,Gilbert heald diseases,,,,,,,,,,,,,,,,
26626,,neuroarthropathy,,,,,,,,,,,,,,,,
26627,,chest syndrome,,,,,,,,,,,,,,,,
26628,,anosmia.|Major depression,,,,,,,,,,,,,,,,
26629,,seasonality,,,,,,,,,,,,,,,,
26630,,elbow joint pain,,,,,,,,,,,,,,,,
26631,,gastrointestinal tract disease,,,,,,,,,,,,,,,,
26632,,acupuncture syncope,,,,,,,,,,,,,,,,
26633,,thymoma,,,,,,,,,,,,,,,,
26634,,glandular lobe,,,,,,,,,,,,,,,,
26635,,Bacterial infection,,,,,,,,,,,,,,,,
26636,,acute fracture,,,,,,,,,,,,,,,,
26637,,Exclusions,,,,,,,,,,,,,,,,
26638,,pleocytosis,,,,,,,,,,,,,,,,
26639,,hereditary diseases,,,,,,,,,,,,,,,,
26640,,administration;|Active autoimmune diseases,,,,,,,,,,,,,,,,
26641,,diseases;|Chronic renal failure,,,,,,,,,,,,,,,,
26642,,Inability to receive,,,,,,,,,,,,,,,,
26643,,mechanical complication,,,,,,,,,,,,,,,,
26644,,Seizure activity,,,,,,,,,,,,,,,,
26645,,parafunctional habits|Patients,,,,,,,,,,,,,,,,
26646,,Gilbert-Meulengracht syndrome,,,,,,,,,,,,,,,,
26647,,PDAC|No,,,,,,,,,,,,,,,,
26648,,disorder of blood cells,,,,,,,,,,,,,,,,
26649,,lymphoma manifestation,,,,,,,,,,,,,,,,
26650,,left ventricle damage,,,,,,,,,,,,,,,,
26651,,keratinized gingiva crestally,,,,,,,,,,,,,,,,
26652,,primary peritoneal carcinoma,,,,,,,,,,,,,,,,
26653,,Chronic Kidney disease,,,,,,,,,,,,,,,,
26654,,electroencephalographic anomalies,,,,,,,,,,,,,,,,
26655,,alcohol abuse|Psychiatric disorders,,,,,,,,,,,,,,,,
26656,,acute hypercapnic respiratory failure,,,,,,,,,,,,,,,,
26657,,neurological symptoms,,,,,,,,,,,,,,,,
26658,,non traumatic bleeding,,,,,,,,,,,,,,,,
26659,,hPAP,,,,,,,,,,,,,,,,
26660,,systemic factors,,,,,,,,,,,,,,,,
26661,,pain below the buttock|Must,,,,,,,,,,,,,,,,
26662,,intracranial neoplasms,,,,,,,,,,,,,,,,
26663,,≤6/10|Vaginal bleeding,,,,,,,,,,,,,,,,
26664,,unhealed wounds,,,,,,,,,,,,,,,,
26665,,thrombotic diseases,,,,,,,,,,,,,,,,
26666,,locoregional disease,,,,,,,,,,,,,,,,
26667,,HCV infections,,,,,,,,,,,,,,,,
26668,,neurologically stable,,,,,,,,,,,,,,,,
26669,,hyperandrogenism,,,,,,,,,,,,,,,,
26670,,neurosensory retinal detachment,,,,,,,,,,,,,,,,
26671,,carcinosarcomas,,,,,,,,,,,,,,,,
26672,,curative-intent,,,,,,,,,,,,,,,,
26673,,dermatological diseases,,,,,,,,,,,,,,,,
26674,,malignant hyperthermia|Raynaud's disease,,,,,,,,,,,,,,,,
26675,,significant disease,,,,,,,,,,,,,,,,
26676,,to.||Additional exclusions,,,,,,,,,,,,,,,,
26677,,pregnancy-related,,,,,,,,,,,,,,,,
26678,,type 2 diabetes|Own a smart phone/tablet|HgbA1c drawn,,,,,,,,,,,,,,,,
26679,,ventricular dysrhythmias,,,,,,,,,,,,,,,,
26680,,HR-MDS,,,,,,,,,,,,,,,,
26681,,non-candidate,,,,,,,,,,,,,,,,
26682,,T-cell lymphoma,,,,,,,,,,,,,,,,
26683,,reduced occupational employability medical,,,,,,,,,,,,,,,,
26684,,Systemic lupus erythematosus,,,,,,,,,,,,,,,,
26685,,deep injection of,,,,,,,,,,,,,,,,
26686,,"acute kidney injury ""AKI"" risk",,,,,,,,,,,,,,,,
26687,,pT1)||,,,,,,,,,,,,,,,,
26688,,cardiac surgeon)|Eligible,,,,,,,,,,,,,,,,
26689,,diabetes;|Abnormal liver function,,,,,,,,,,,,,,,,
26690,,chronic cough|Use of the following,,,,,,,,,,,,,,,,
26691,,neurological disorder|Uncontrolled endocrinology disease,,,,,,,,,,,,,,,,
26692,,Hypertension,,,,,,,,,,,,,,,,
26693,,venous insufficiency,,,,,,,,,,,,,,,,
26694,,involvement of the first branch of portal vein,,,,,,,,,,,,,,,,
26695,,enema,,,,,,,,,,,,,,,,
26696,,Deep Throat Saliva (DTS),,,,,,,,,,,,,,,,
26697,,hepatocholangiocarcinoma,,,,,,,,,,,,,,,,
26698,,extracranial metastases,,,,,,,,,,,,,,,,
26699,,visible lesion,,,,,,,,,,,,,,,,
26700,,profound neutropenia,,,,,,,,,,,,,,,,
26701,,Renal Disease formula);|Suspected,,,,,,,,,,,,,,,,
26702,,miscarriage,,,,,,,,,,,,,,,,
26703,,surgery|Previous swallowing,,,,,,,,,,,,,,,,
26704,,idiopathic angioedema,,,,,,,,,,,,,,,,
26705,,chronic pancreatitis|Presence,,,,,,,,,,,,,,,,
26706,,pulmonary fibrosis,,,,,,,,,,,,,,,,
26707,,Generalized Anxiety Disorder Scale,,,,,,,,,,,,,,,,
26708,,structural heart disease,,,,,,,,,,,,,,,,
26709,,adverse systemic,,,,,,,,,,,,,,,,
26710,,foreign objects in both wrists.|Participants must agree to adhere to the lifestyle considerations.||Healthy Controls,,,,,,,,,,,,,,,,
26711,,androgens,,,,,,,,,,,,,,,,
26712,,psychiatric illness.|Patient,,,,,,,,,,,,,,,,
26713,,active COVID-19,,,,,,,,,,,,,,,,
26714,,colon cancer diagnosis|Stage,,,,,,,,,,,,,,,,
26715,,national healthcare coverage,,,,,,,,,,,,,,,,
26716,,traumatic injury.|Current,,,,,,,,,,,,,,,,
26717,,genetic liver disease,,,,,,,,,,,,,,,,
26718,,Prostate cancer,,,,,,,,,,,,,,,,
26719,,aortic valve stenosis|pregnant,,,,,,,,,,,,,,,,
26720,,concomitant skin,,,,,,,,,,,,,,,,
26721,,chronic illness|plasma total cholesterol,,,,,,,,,,,,,,,,
26722,,humoral immunodeficiency,,,,,,,,,,,,,,,,
26723,,recovered from any surgical effects.|Participant,,,,,,,,,,,,,,,,
26724,,cough of unknown cause,,,,,,,,,,,,,,,,
26725,,pre-stroke functional disability,,,,,,,,,,,,,,,,
26726,,adrenal,,,,,,,,,,,,,,,,
26727,,hypertension||Relative,,,,,,,,,,,,,,,,
26728,,heart disease；|3、Pregnant,,,,,,,,,,,,,,,,
26729,,Chest pain,,,,,,,,,,,,,,,,
26730,,inner forearm the beginning of the product application phase;|Willing,,,,,,,,,,,,,,,,
26731,,moxibustion smoke,,,,,,,,,,,,,,,,
26732,,intestinal disorders,,,,,,,,,,,,,,,,
26733,,IRC,,,,,,,,,,,,,,,,
26734,,actinic keratoses,,,,,,,,,,,,,,,,
26735,,acute coronary syndrome|acute,,,,,,,,,,,,,,,,
26736,,sleep efficiency,,,,,,,,,,,,,,,,
26737,,discrete pulmonary nodules,,,,,,,,,,,,,,,,
26738,,acutely suicidal,,,,,,,,,,,,,,,,
26739,,good general health).|Only,,,,,,,,,,,,,,,,
26740,,Nantes,,,,,,,,,,,,,,,,
26741,,RECIST 1.1)|Able and,,,,,,,,,,,,,,,,
26742,,and/or critical COVID,,,,,,,,,,,,,,,,
26743,,calculi,,,,,,,,,,,,,,,,
26744,,prolonged general anesthesia,,,,,,,,,,,,,,,,
26745,,nasal cavity abnormalities,,,,,,,,,,,,,,,,
26746,,choroidal melanoma,,,,,,,,,,,,,,,,
26747,,ischemic attack,,,,,,,,,,,,,,,,
26748,,either:||Elevation,,,,,,,,,,,,,,,,
26749,,neurological disease|Upper limb,,,,,,,,,,,,,,,,
26750,,incontinence surgery|simultaneous,,,,,,,,,,,,,,,,
26751,,adequate response,,,,,,,,,,,,,,,,
26752,,complex retinal detachment,,,,,,,,,,,,,,,,
26753,,eye protrusion,,,,,,,,,,,,,,,,
26754,,Visual field defects,,,,,,,,,,,,,,,,
26755,,osteoporotic vertebral,,,,,,,,,,,,,,,,
26756,,left ventricular systolic dysfunction,,,,,,,,,,,,,,,,
26757,,splenic enlargement,,,,,,,,,,,,,,,,
26758,,internal disease,,,,,,,,,,,,,,,,
26759,,communication problems|Systolic blood pressure,,,,,,,,,,,,,,,,
26760,,hepatitis B virus core antibody (HBcAb),,,,,,,,,,,,,,,,
26761,,specific syndrome,,,,,,,,,,,,,,,,
26762,,headache||,,,,,,,,,,,,,,,,
26763,,non-invasive monitoring,,,,,,,,,,,,,,,,
26764,,mesothelioma,,,,,,,,,,,,,,,,
26765,,human immunodeficiency virus.|Drug,,,,,,,,,,,,,,,,
26766,,fatal disease,,,,,,,,,,,,,,,,
26767,,GI dysfunction,,,,,,,,,,,,,,,,
26768,,open cavities,,,,,,,,,,,,,,,,
26769,,juvenile-onset SSc|Having,,,,,,,,,,,,,,,,
26770,,HIV antibody.|The,,,,,,,,,,,,,,,,
26771,,extensive external beam radiation therapy,,,,,,,,,,,,,,,,
26772,,radioactive pneumonia,,,,,,,,,,,,,,,,
26773,,impaired mobility,,,,,,,,,,,,,,,,
26774,,fallopian tube cancer|Patients,,,,,,,,,,,,,,,,
26775,,Type 1 ROP,,,,,,,,,,,,,,,,
26776,,spinal,,,,,,,,,,,,,,,,
26777,,dislocation,,,,,,,,,,,,,,,,
26778,,Benign Biliary Strictures (BBS),,,,,,,,,,,,,,,,
26779,,ankle sprain,,,,,,,,,,,,,,,,
26780,,bleeding tendency|Drug abusers,,,,,,,,,,,,,,,,
26781,,systolic heart failure,,,,,,,,,,,,,,,,
26782,,chronic painful condition.|do,,,,,,,,,,,,,,,,
26783,,immune system disorder,,,,,,,,,,,,,,,,
26784,,resolved infection,,,,,,,,,,,,,,,,
26785,,intense respiratory muscle work,,,,,,,,,,,,,,,,
26786,,thrombotic tendency,,,,,,,,,,,,,,,,
26787,,adverse outcome,,,,,,,,,,,,,,,,
26788,,febrile of uncertain origin or meningoencephalitis,,,,,,,,,,,,,,,,
26789,,knee joint stiffness,,,,,,,,,,,,,,,,
26790,,Iron metabolism disorders,,,,,,,,,,,,,,,,
26791,,ulcerative keratitis,,,,,,,,,,,,,,,,
26792,,haematological malignancy,,,,,,,,,,,,,,,,
26793,,neurofibromatosis type 1 (NF-1,,,,,,,,,,,,,,,,
26794,,chronic liver diseases|Recent,,,,,,,,,,,,,,,,
26795,,coagulation disorder.|Is,,,,,,,,,,,,,,,,
26796,,"mmHg),|Not being obese",,,,,,,,,,,,,,,,
26797,,Impaired glucose tolerance,,,,,,,,,,,,,,,,
26798,,substantial potential,,,,,,,,,,,,,,,,
26799,,asymptomatic atrial fibrillation,,,,,,,,,,,,,,,,
26800,,maternal mirror syndrome,,,,,,,,,,,,,,,,
26801,,acute coronary syndrome|High-sensitivity,,,,,,,,,,,,,,,,
26802,,focal liver lesions||,,,,,,,,,,,,,,,,
26803,,chromosomal nondisjunction,,,,,,,,,,,,,,,,
26804,,LVEF<50%).|Patients,,,,,,,,,,,,,,,,
26805,,arterial plaque,,,,,,,,,,,,,,,,
26806,,android mobile,,,,,,,,,,,,,,,,
26807,,intracranial hemorrhage|Previously randomised,,,,,,,,,,,,,,,,
26808,,weight changes,,,,,,,,,,,,,,,,
26809,,cardiovascular|musculoskeletal disease,,,,,,,,,,,,,,,,
26810,,scleral buckle surgery|cases,,,,,,,,,,,,,,,,
26811,,dyspnea).||,,,,,,,,,,,,,,,,
26812,,ethnic minority,,,,,,,,,,,,,,,,
26813,,surgically with curative,,,,,,,,,,,,,,,,
26814,,Right upper quadrant mass/pain/tenderness,,,,,,,,,,,,,,,,
26815,,arteriosclerotic peripheral blood,,,,,,,,,,,,,,,,
26816,,heart attack);|currently,,,,,,,,,,,,,,,,
26817,,urothelial cancer,,,,,,,,,,,,,,,,
26818,,Questionnaire)|Serious cognitive impairment,,,,,,,,,,,,,,,,
26819,,carcinoma in situ of breast,,,,,,,,,,,,,,,,
26820,,increased intracranial pressure,,,,,,,,,,,,,,,,
26821,,motor neuron disease,,,,,,,,,,,,,,,,
26822,,intercurrent illnesses,,,,,,,,,,,,,,,,
26823,,non-melanoma skin carcinoma|Social,,,,,,,,,,,,,,,,
26824,,cardiac-related cause|Alcohol,,,,,,,,,,,,,,,,
26825,,cm)|Duodenal stenosis|Post- surgical altered anatomy|Benign disease,,,,,,,,,,,,,,,,
26826,,Chronic allergic rhinitis||Allergic,,,,,,,,,,,,,,,,
26827,,more|type 2 diabetic,,,,,,,,,,,,,,,,
26828,,SLC7A7,,,,,,,,,,,,,,,,
26829,,Class IC|Reflex syncope,,,,,,,,,,,,,,,,
26830,,Common symptoms,,,,,,,,,,,,,,,,
26831,,occupational reasons,,,,,,,,,,,,,,,,
26832,,cognitive impairment|Alcohol consumption,,,,,,,,,,,,,,,,
26833,,antithrombin deficiency,,,,,,,,,,,,,,,,
26834,,hockey,,,,,,,,,,,,,,,,
26835,,oropharyngeal carcinoma,,,,,,,,,,,,,,,,
26836,,maintenance,,,,,,,,,,,,,,,,
26837,,metastatic prostate cancer,,,,,,,,,,,,,,,,
26838,,gluten-free diet,,,,,,,,,,,,,,,,
26839,,Multiparous,,,,,,,,,,,,,,,,
26840,,Mood Disorder Questionnaire (MDQ),,,,,,,,,,,,,,,,
26841,,Brugada syndrome,,,,,,,,,,,,,,,,
26842,,TEAVIGO,,,,,,,,,,,,,,,,
26843,,muscle enzymes,,,,,,,,,,,,,,,,
26844,,B-NHL,,,,,,,,,,,,,,,,
26845,,plates,,,,,,,,,,,,,,,,
26846,,malignant biliary,,,,,,,,,,,,,,,,
26847,,neutropenic fever,,,,,,,,,,,,,,,,
26848,,anaphylactoid reaction,,,,,,,,,,,,,,,,
26849,,hospitalization.|Eligible,,,,,,,,,,,,,,,,
26850,,ulcerative proctitis,,,,,,,,,,,,,,,,
26851,,breast-feeding.|Uncontrolled intercurrent illness,,,,,,,,,,,,,,,,
26852,,immunochromatographic assay.|No symptoms,,,,,,,,,,,,,,,,
26853,,septic,,,,,,,,,,,,,,,,
26854,,≥9.0%;|Active bacterial,,,,,,,,,,,,,,,,
26855,,perianal fistulae,,,,,,,,,,,,,,,,
26856,,traumas,,,,,,,,,,,,,,,,
26857,,acute heart disease,,,,,,,,,,,,,,,,
26858,,mild depressive symptoms,,,,,,,,,,,,,,,,
26859,,cranial anatomical alterations,,,,,,,,,,,,,,,,
26860,,Tuberculosis,,,,,,,,,,,,,,,,
26861,,concomitant cancer,,,,,,,,,,,,,,,,
26862,,breast abscess,,,,,,,,,,,,,,,,
26863,,esophagus varices,,,,,,,,,,,,,,,,
26864,,Obstructive Sleep,,,,,,,,,,,,,,,,
26865,,JMT103,,,,,,,,,,,,,,,,
26866,,gastrointestinal (GI) abnormalities,,,,,,,,,,,,,,,,
26867,,dilations of the renal pelvis,,,,,,,,,,,,,,,,
26868,,normal|Allergy,,,,,,,,,,,,,,,,
26869,,burning sensation,,,,,,,,,,,,,,,,
26870,,toenail onychomycosis,,,,,,,,,,,,,,,,
26871,,regular menstrual cycles,,,,,,,,,,,,,,,,
26872,,"traumatic brain injury,|Major neurological problems,|Current substance use disorder",,,,,,,,,,,,,,,,
26873,,ocular discomfort,,,,,,,,,,,,,,,,
26874,,HIV 2,,,,,,,,,,,,,,,,
26875,,primary biliary sclerosis,,,,,,,,,,,,,,,,
26876,,benign prostate disease,,,,,,,,,,,,,,,,
26877,,extensive meningeal metastases,,,,,,,,,,,,,,,,
26878,,medically compromised,,,,,,,,,,,,,,,,
26879,,angle glaucoma,,,,,,,,,,,,,,,,
26880,,contralateral breast cancer,,,,,,,,,,,,,,,,
26881,,Bradbury-Eggleston syndrome,,,,,,,,,,,,,,,,
26882,,excessive risk,,,,,,,,,,,,,,,,
26883,,gastro-oesophageal reflux,,,,,,,,,,,,,,,,
26884,,elsewhere)||,,,,,,,,,,,,,,,,
26885,,respiratory physician,,,,,,,,,,,,,,,,
26886,,acute prostatitis,,,,,,,,,,,,,,,,
26887,,carotid stenosis|Permanent residence,,,,,,,,,,,,,,,,
26888,,organ damage|Failed medical abortion,,,,,,,,,,,,,,,,
26889,,mixed small cell component,,,,,,,,,,,,,,,,
26890,,musculoskeletal disease|no removable,,,,,,,,,,,,,,,,
26891,,comorbid illness,,,,,,,,,,,,,,,,
26892,,idiopathic constipation,,,,,,,,,,,,,,,,
26893,,urethral stricture,,,,,,,,,,,,,,,,
26894,,exertional compartment syndrome (CECS),,,,,,,,,,,,,,,,
26895,,primary solid (irrespective of the status of the primary tumor)|Patients,,,,,,,,,,,,,,,,
26896,,meningitis symptoms,,,,,,,,,,,,,,,,
26897,,criteria of anthropometric data||Man,,,,,,,,,,,,,,,,
26898,,heart block|Congestive heart failure,,,,,,,,,,,,,,,,
26899,,NSAIDs Pregnancy,,,,,,,,,,,,,,,,
26900,,thyroid disease|Patients,,,,,,,,,,,,,,,,
26901,,systemic inflammation interaction,,,,,,,,,,,,,,,,
26902,,marginal ulceration,,,,,,,,,,,,,,,,
26903,,multifocal soft contact lenses,,,,,,,,,,,,,,,,
26904,,Convergence insufficiency symptom Survey,,,,,,,,,,,,,,,,
26905,,instrumental activity,,,,,,,,,,,,,,,,
26906,,sialadenitis,,,,,,,,,,,,,,,,
26907,,immunosuppressive diseases,,,,,,,,,,,,,,,,
26908,,invasion,,,,,,,,,,,,,,,,
26909,,hypochlorhydria.|Prior varices,,,,,,,,,,,,,,,,
26910,,CTNNB1 mutation,,,,,,,,,,,,,,,,
26911,,placed other instruments,,,,,,,,,,,,,,,,
26912,,mitral valve repair;|Patients operated,,,,,,,,,,,,,,,,
26913,,acute course treatment,,,,,,,,,,,,,,,,
26914,,blood coagulation disorder,,,,,,,,,,,,,,,,
26915,,painful condition,,,,,,,,,,,,,,,,
26916,,cardiac athletes.|Haematological disease,,,,,,,,,,,,,,,,
26917,,residual malignant tumors,,,,,,,,,,,,,,,,
26918,,achalasia,,,,,,,,,,,,,,,,
26919,,bleeding control|Those,,,,,,,,,,,,,,,,
26920,,herniated disc,,,,,,,,,,,,,,,,
26921,,respiratory support.||,,,,,,,,,,,,,,,,
26922,,Cognitively-Unimpaired,,,,,,,,,,,,,,,,
26923,,punctual occlusion,,,,,,,,,,,,,,,,
26924,,indicators,,,,,,,,,,,,,,,,
26925,,bone lesion,,,,,,,,,,,,,,,,
26926,,substitute decision makers,,,,,,,,,,,,,,,,
26927,,"smell,|No communication",,,,,,,,,,,,,,,,
26928,,spina bifida,,,,,,,,,,,,,,,,
26929,,Undiagnosed children|Inadequate,,,,,,,,,,,,,,,,
26930,,cardiovascular disease|neurologic conditions|disease affecting metabolism,,,,,,,,,,,,,,,,
26931,,end of induction,,,,,,,,,,,,,,,,
26932,,Fractures,,,,,,,,,,,,,,,,
26933,,Group:||Active suicidal ideation,,,,,,,,,,,,,,,,
26934,,COVID-19|Acute common cold|Influenza|Fever,,,,,,,,,,,,,,,,
26935,,hyperkyphosis,,,,,,,,,,,,,,,,
26936,,transient ischemic attacks,,,,,,,,,,,,,,,,
26937,,substance use,,,,,,,,,,,,,,,,
26938,,age|Major amputations,,,,,,,,,,,,,,,,
26939,,duodenal cancer,,,,,,,,,,,,,,,,
26940,,coordinating site,,,,,,,,,,,,,,,,
26941,,chronic medical disease,,,,,,,,,,,,,,,,
26942,,inattention symptoms,,,,,,,,,,,,,,,,
26943,,subgingival,,,,,,,,,,,,,,,,
26944,,vision issues,,,,,,,,,,,,,,,,
26945,,C virus,,,,,,,,,,,,,,,,
26946,,child-fathering potential,,,,,,,,,,,,,,,,
26947,,therapy.||Chronic Lymphocytic,,,,,,,,,,,,,,,,
26948,,cirrhosis.|Patients,,,,,,,,,,,,,,,,
26949,,spinal cord compression.|History,,,,,,,,,,,,,,,,
26950,,criteria for hypertension,,,,,,,,,,,,,,,,
26951,,angina|Unstable angina,,,,,,,,,,,,,,,,
26952,,bronchial hemorrhage,,,,,,,,,,,,,,,,
26953,,cervicovaginal specimens,,,,,,,,,,,,,,,,
26954,,painful physical condition,,,,,,,,,,,,,,,,
26955,,chronic neurological disease,,,,,,,,,,,,,,,,
26956,,fractures of the upper,,,,,,,,,,,,,,,,
26957,,main organ functions,,,,,,,,,,,,,,,,
26958,,health products,,,,,,,,,,,,,,,,
26959,,nail beds,,,,,,,,,,,,,,,,
26960,,gastric variceal bleeding,,,,,,,,,,,,,,,,
26961,,B-type natriuretic,,,,,,,,,,,,,,,,
26962,,systemic anticancer treatment|Contraindication of anaesthesiology character|Contraindication to MRI|Participation,,,,,,,,,,,,,,,,
26963,,alveolar soft-part sarcoma,,,,,,,,,,,,,,,,
26964,,coronary arterial disease,,,,,,,,,,,,,,,,
26965,,COVID MDT,,,,,,,,,,,,,,,,
26966,,platelet inhibitory properties,,,,,,,,,,,,,,,,
26967,,scale|Abnormal sensation,,,,,,,,,,,,,,,,
26968,,local squamous cell carcinoma,,,,,,,,,,,,,,,,
26969,,cytomegalovirus infection,,,,,,,,,,,,,,,,
26970,,psoriatic lesions,,,,,,,,,,,,,,,,
26971,,secondary orifices should,,,,,,,,,,,,,,,,
26972,,shoulder problems,,,,,,,,,,,,,,,,
26973,,gait pathology,,,,,,,,,,,,,,,,
26974,,tumor-related pain,,,,,,,,,,,,,,,,
26975,,macular lesions,,,,,,,,,,,,,,,,
26976,,former smokers,,,,,,,,,,,,,,,,
26977,,cerebral metastases;|Refusal,,,,,,,,,,,,,,,,
26978,,Urothelial Carcinoma,,,,,,,,,,,,,,,,
26979,,laboratory abnormality,,,,,,,,,,,,,,,,
26980,,diseases|Fresh cycle,,,,,,,,,,,,,,,,
26981,,spinal cord surgery)|Onset,,,,,,,,,,,,,,,,
26982,,autism spectrum disorder|Major mood,,,,,,,,,,,,,,,,
26983,,bothersome pain,,,,,,,,,,,,,,,,
26984,,B)|Hemophilia severity,,,,,,,,,,,,,,,,
26985,,acute kidney disease,,,,,,,,,,,,,,,,
26986,,colloids|Severe heart diseases,,,,,,,,,,,,,,,,
26987,,Parkinson's Disease.|The,,,,,,,,,,,,,,,,
26988,,modified duties,,,,,,,,,,,,,,,,
26989,,bronchial,,,,,,,,,,,,,,,,
26990,,Unresectable,,,,,,,,,,,,,,,,
26991,,loss,,,,,,,,,,,,,,,,
26992,,parent(s)/legal representative(s) able to understand the language used in the investigation centre,,,,,,,,,,,,,,,,
26993,,imaging|Concomitant cholecystitis,,,,,,,,,,,,,,,,
26994,,Paget's,,,,,,,,,,,,,,,,
26995,,Initiating,,,,,,,,,,,,,,,,
26996,,systemic autoimmune disease|Ongoing,,,,,,,,,,,,,,,,
26997,,lower extremity bypass,,,,,,,,,,,,,,,,
26998,,translocations causing disease,,,,,,,,,,,,,,,,
26999,,Arrhythmia|Cognitive change,,,,,,,,,,,,,,,,
27000,,endometrial polyp,,,,,,,,,,,,,,,,
27001,,PARP inhibitors,,,,,,,,,,,,,,,,
27002,,atrial appendage thrombosis,,,,,,,,,,,,,,,,
27003,,tapered off,,,,,,,,,,,,,,,,
27004,,acute sickness,,,,,,,,,,,,,,,,
27005,,seasonal allergic rhinitis,,,,,,,,,,,,,,,,
27006,,childbearing,,,,,,,,,,,,,,,,
27007,,6.Active infection,,,,,,,,,,,,,,,,
27008,,meningeal metastasis.|Expected lifetime,,,,,,,,,,,,,,,,
27009,,breast cancer;|Patients,,,,,,,,,,,,,,,,
27010,,COPD|Chronic hypoxia,,,,,,,,,,,,,,,,
27011,,pension application|Simultaneous participation in other clinical/interventional trials,,,,,,,,,,,,,,,,
27012,,procedures.||Failed to respond,,,,,,,,,,,,,,,,
